Filename,Description,Category,SubCategory,Library,Duration,Manufacturer,BitDepth,SampleRate,Channels,Designer,Keywords,URL,Source,Notes
Battle_Game_Ambience_Loop_Abandoned_Town_Apocalyptic_Dark_Hybrid_Cinematic_Soundscape_Tonal_1.wav,"soundscape, tonal, ambience, ambient, dark, loop, looping, environment, room tone, drone, steady, fantasy, flowing, background",Game,Warfare,Battle Royale Game,00:48.000,Epic Stock Media,16,44100,2,Epic Stock Media,Battle Game Ambience Loop Abandoned Town Apocalyptic Dark Hybrid Cinematic Soundscape Tonal 1,https://epicstockmedia.com,Epic Stock Media,All files are Copyright Epic Stock Media - All Rights Reserved © 2020 Epic Stock Media
Battle_Game_Ambience_Loop_Abandoned_Town_Apocalyptic_Dark_Hybrid_Cinematic_Soundscape_Tonal_2_Tone_Only.wav,"soundscape, tonal, ambience, ambient, dark, loop, looping, environment, room tone, drone, steady, fantasy, flowing, background",Game,Warfare,Battle Royale Game,00:51.750,Epic Stock Media,16,44100,2,Epic Stock Media,Battle Game Ambience Loop Abandoned Town Apocalyptic Dark Hybrid Cinematic Soundscape Tonal 2 Tone Only,https://epicstockmedia.com,Epic Stock Media,All files are Copyright Epic Stock Media - All Rights Reserved © 2020 Epic Stock Media
Battle_Game_Ambience_Loop_Abandoned_Town_Apocalyptic_Dark_Hybrid_Cinematic_Soundscape_Tonal_3_Wind_Only.wav,"soundscape, tonal, ambience, ambient, dark, loop, looping, environment, room tone, drone, steady, fantasy, flowing, background",Game,Warfare,Battle Royale Game,00:52.000,Epic Stock Media,16,44100,2,Epic Stock Media,Battle Game Ambience Loop Abandoned Town Apocalyptic Dark Hybrid Cinematic Soundscape Tonal 3 Wind Only,https://epicstockmedia.com,Epic Stock Media,All files are Copyright Epic Stock Media - All Rights Reserved © 2020 Epic Stock Media
Battle_Game_Ambience_Loop_Bloodlust_Cinematic_Drum_Gore_Chasm_Wind_Dark_1.wav,"soundscape, tonal, ambience, ambient, dark, loop, looping, environment, room tone, drone, steady, fantasy, flowing, background",Game,Warfare,Battle Royale Game,00:53.250,Epic Stock Media,16,44100,2,Epic Stock Media,Battle Game Ambience Loop Bloodlust Cinematic Drum Gore Chasm Wind Dark 1,https://epicstockmedia.com,Epic Stock Media,All files are Copyright Epic Stock Media - All Rights Reserved © 2020 Epic Stock Media
Battle_Game_Ambience_Loop_Boss_Fight_2_Steady_Bed_Trailer_Cinematic_Hybrid_Epic_Dark_Angry_2.wav,"soundscape, tonal, ambience, ambient, dark, loop, looping, environment, room tone, drone, steady, fantasy, flowing, background",Game,Warfare,Battle Royale Game,00:38.750,Epic Stock Media,16,44100,2,Epic Stock Media,Battle Game Ambience Loop Boss Fight 2 Steady Bed Trailer Cinematic Hybrid Epic Dark Angry 2,https://epicstockmedia.com,Epic Stock Media,All files are Copyright Epic Stock Media - All Rights Reserved © 2020 Epic Stock Media
Battle_Game_Ambience_Loop_Boss_Fight_3_Pulsing_Airy_Dark_Gritty_Drone_1.wav,"soundscape, tonal, ambience, ambient, dark, loop, looping, environment, room tone, drone, steady, fantasy, flowing, background",Game,Warfare,Battle Royale Game,00:26.125,Epic Stock Media,16,44100,2,Epic Stock Media,Battle Game Ambience Loop Boss Fight 3 Pulsing Airy Dark Gritty Drone 1,https://epicstockmedia.com,Epic Stock Media,All files are Copyright Epic Stock Media - All Rights Reserved © 2020 Epic Stock Media
Battle_Game_Ambience_Loop_Boss_Fight_Trailer_Cinematic_Hybrid_Epic_Dark_Angry_1.wav,"soundscape, tonal, ambience, ambient, dark, loop, looping, environment, room tone, drone, steady, fantasy, flowing, background",Game,Warfare,Battle Royale Game,01:19.000,Epic Stock Media,16,44100,2,Epic Stock Media,Battle Game Ambience Loop Boss Fight Trailer Cinematic Hybrid Epic Dark Angry 1,https://epicstockmedia.com,Epic Stock Media,All files are Copyright Epic Stock Media - All Rights Reserved © 2020 Epic Stock Media
Battle_Game_Ambience_Loop_Building_Dark_Roomtone_Looading_Screen_Tonal_Deep_Soundscape_1.wav,"soundscape, tonal, ambience, ambient, dark, loop, looping, environment, room tone, drone, steady, fantasy, flowing, background",Game,Warfare,Battle Royale Game,01:14.000,Epic Stock Media,16,44100,2,Epic Stock Media,Battle Game Ambience Loop Building Dark Roomtone Looading Screen Tonal Deep Soundscape 1,https://epicstockmedia.com,Epic Stock Media,All files are Copyright Epic Stock Media - All Rights Reserved © 2020 Epic Stock Media
Battle_Game_Ambience_Loop_Check_Point_Loading_Screen_Lobby_Airy_Calm_Dark_Tension_1.wav,"soundscape, tonal, ambience, ambient, dark, loop, looping, environment, room tone, drone, steady, fantasy, flowing, background",Game,Warfare,Battle Royale Game,00:50.500,Epic Stock Media,16,44100,2,Epic Stock Media,Battle Game Ambience Loop Check Point Loading Screen Lobby Airy Calm Dark Tension 1,https://epicstockmedia.com,Epic Stock Media,All files are Copyright Epic Stock Media - All Rights Reserved © 2020 Epic Stock Media
Battle_Game_Ambience_Loop_City_Apocalyptic_Dark_Deep_Bass_Heavy_Tonal_Eerie_1.wav,"soundscape, tonal, ambience, ambient, dark, loop, looping, environment, room tone, drone, steady, fantasy, flowing, background",Game,Warfare,Battle Royale Game,02:02.000,Epic Stock Media,16,44100,2,Epic Stock Media,Battle Game Ambience Loop City Apocalyptic Dark Deep Bass Heavy Tonal Eerie 1,https://epicstockmedia.com,Epic Stock Media,All files are Copyright Epic Stock Media - All Rights Reserved © 2020 Epic Stock Media
Battle_Game_Ambience_Loop_Dark_Atmosphere_Airy_Soundscape_Eerie_1.wav,"soundscape, tonal, ambience, ambient, dark, loop, looping, environment, room tone, drone, steady, fantasy, flowing, background",Game,Warfare,Battle Royale Game,00:45.000,Epic Stock Media,16,44100,2,Epic Stock Media,Battle Game Ambience Loop Dark Atmosphere Airy Soundscape Eerie 1,https://epicstockmedia.com,Epic Stock Media,All files are Copyright Epic Stock Media - All Rights Reserved © 2020 Epic Stock Media
Battle_Game_Ambience_Loop_Dark_Piano_Haunting_Scary_Danger_Close_Steady_1.wav,"soundscape, tonal, ambience, ambient, dark, loop, looping, environment, room tone, drone, steady, fantasy, flowing, background",Game,Warfare,Battle Royale Game,00:15.895,Epic Stock Media,16,44100,2,Epic Stock Media,Battle Game Ambience Loop Dark Piano Haunting Scary Danger Close Steady 1,https://epicstockmedia.com,Epic Stock Media,All files are Copyright Epic Stock Media - All Rights Reserved © 2020 Epic Stock Media
Battle_Game_Ambience_Loop_Death_Dungeon_Soundscape_Demonic_Horror_Slaughter_House_Roomtone_Dark_1.wav,"soundscape, tonal, ambience, ambient, dark, loop, looping, environment, room tone, drone, steady, fantasy, flowing, background",Game,Warfare,Battle Royale Game,01:32.000,Epic Stock Media,16,44100,2,Epic Stock Media,Battle Game Ambience Loop Death Dungeon Soundscape Demonic Horror Slaughter House Roomtone Dark 1,https://epicstockmedia.com,Epic Stock Media,All files are Copyright Epic Stock Media - All Rights Reserved © 2020 Epic Stock Media
Battle_Game_Ambience_Loop_Desolate_Camp_Steady_Deep_Dreary_Dark_Haunted_Tonal_Soundscape_1.wav,"soundscape, tonal, ambience, ambient, dark, loop, looping, environment, room tone, drone, steady, fantasy, flowing, background",Game,Warfare,Battle Royale Game,01:52.000,Epic Stock Media,16,44100,2,Epic Stock Media,Battle Game Ambience Loop Desolate Camp Steady Deep Dreary Dark Haunted Tonal Soundscape 1,https://epicstockmedia.com,Epic Stock Media,All files are Copyright Epic Stock Media - All Rights Reserved © 2020 Epic Stock Media
Battle_Game_Ambience_Loop_Discovery_2_Tension_Choir_Voice_Drone_Hum_Tone_2.wav,"soundscape, tonal, ambience, ambient, dark, loop, looping, environment, room tone, drone, steady, fantasy, flowing, background",Game,Warfare,Battle Royale Game,00:07.500,Epic Stock Media,16,44100,2,Epic Stock Media,Battle Game Ambience Loop Discovery 2 Tension Choir Voice Drone Hum Tone 2,https://epicstockmedia.com,Epic Stock Media,All files are Copyright Epic Stock Media - All Rights Reserved © 2020 Epic Stock Media
Battle_Game_Ambience_Loop_Discovery_Choir_Voice_Drone_Hum_Tone_Anxious_Waiting_Menu_1.wav,"soundscape, tonal, ambience, ambient, dark, loop, looping, environment, room tone, drone, steady, fantasy, flowing, background",Game,Warfare,Battle Royale Game,00:13.500,Epic Stock Media,16,44100,2,Epic Stock Media,Battle Game Ambience Loop Discovery Choir Voice Drone Hum Tone Anxious Waiting Menu 1,https://epicstockmedia.com,Epic Stock Media,All files are Copyright Epic Stock Media - All Rights Reserved © 2020 Epic Stock Media
Battle_Game_Ambience_Loop_Forgotten_Hub_Dark_Tonal_Retro_Hybrid_Soundscape_1.wav,"soundscape, tonal, ambience, ambient, dark, loop, looping, environment, room tone, drone, steady, fantasy, flowing, background",Game,Warfare,Battle Royale Game,00:52.000,Epic Stock Media,16,44100,2,Epic Stock Media,Battle Game Ambience Loop Forgotten Hub Dark Tonal Retro Hybrid Soundscape 1,https://epicstockmedia.com,Epic Stock Media,All files are Copyright Epic Stock Media - All Rights Reserved © 2020 Epic Stock Media
Battle_Game_Ambience_Loop_Hollow_Ground_Airy_Steady_Deep_Tonal_1.wav,"soundscape, tonal, ambience, ambient, dark, loop, looping, environment, room tone, drone, steady, fantasy, flowing, background",Game,Warfare,Battle Royale Game,00:38.500,Epic Stock Media,16,44100,2,Epic Stock Media,Battle Game Ambience Loop Hollow Ground Airy Steady Deep Tonal 1,https://epicstockmedia.com,Epic Stock Media,All files are Copyright Epic Stock Media - All Rights Reserved © 2020 Epic Stock Media
Battle_Game_Ambience_Loop_Killing_Field_Lobby_Music_Soundscape_Horror_Tension_Dark_1.wav,"soundscape, tonal, ambience, ambient, dark, loop, looping, environment, room tone, drone, steady, fantasy, flowing, background",Game,Warfare,Battle Royale Game,02:20.000,Epic Stock Media,16,44100,2,Epic Stock Media,Battle Game Ambience Loop Killing Field Lobby Music Soundscape Horror Tension Dark 1,https://epicstockmedia.com,Epic Stock Media,All files are Copyright Epic Stock Media - All Rights Reserved © 2020 Epic Stock Media
Battle_Game_Ambience_Loop_Looking_For_Shelter_Dark_Hybrid_Bass_Deep_Cinematic_Pulsing_Tension_Suspense_1.wav,"soundscape, tonal, ambience, ambient, dark, loop, looping, environment, room tone, drone, steady, fantasy, flowing, background",Game,Warfare,Battle Royale Game,00:58.000,Epic Stock Media,16,44100,2,Epic Stock Media,Battle Game Ambience Loop Looking For Shelter Dark Hybrid Bass Deep Cinematic Pulsing Tension Suspense 1,https://epicstockmedia.com,Epic Stock Media,All files are Copyright Epic Stock Media - All Rights Reserved © 2020 Epic Stock Media
Battle_Game_Ambience_Loop_Research_Base_Hybrid_Cinematic_Atmospheric_Ambient_Technology_Steady_Tonal_1.wav,"soundscape, tonal, ambience, ambient, dark, loop, looping, environment, room tone, drone, steady, fantasy, flowing, background",Game,Warfare,Battle Royale Game,00:33.000,Epic Stock Media,16,44100,2,Epic Stock Media,Battle Game Ambience Loop Research Base Hybrid Cinematic Atmospheric Ambient Technology Steady Tonal 1,https://epicstockmedia.com,Epic Stock Media,All files are Copyright Epic Stock Media - All Rights Reserved © 2020 Epic Stock Media
Battle_Game_Ambience_Loop_Sci_fi_Fantasy_Pulsing_Rhythmn_Menu_Music_Lobby_Mysterical_Mystery_Retro_Space_1.wav,"soundscape, tonal, ambience, ambient, dark, loop, looping, environment, room tone, drone, steady, fantasy, flowing, background",Game,Warfare,Battle Royale Game,00:26.250,Epic Stock Media,16,44100,2,Epic Stock Media,Battle Game Ambience Loop Sci fi Fantasy Pulsing Rhythmn Menu Music Lobby Mysterical Mystery Retro Space 1,https://epicstockmedia.com,Epic Stock Media,All files are Copyright Epic Stock Media - All Rights Reserved © 2020 Epic Stock Media
Battle_Game_Ambience_Loop_Sci_fi_Fantasy_Wonder_Drone_Rhythmn_Mystery_Hybrid_Retro_1.wav,"soundscape, tonal, ambience, ambient, dark, loop, looping, environment, room tone, drone, steady, fantasy, flowing, background",Game,Warfare,Battle Royale Game,00:22.000,Epic Stock Media,16,44100,2,Epic Stock Media,Battle Game Ambience Loop Sci fi Fantasy Wonder Drone Rhythmn Mystery Hybrid Retro 1,https://epicstockmedia.com,Epic Stock Media,All files are Copyright Epic Stock Media - All Rights Reserved © 2020 Epic Stock Media
Battle_Game_Ambience_Loop_Sewer_Dark_Hybrid_Cinematic_Ambient_Background_Atmosphere_Steady_Water_Drip_1.wav,"soundscape, tonal, ambience, ambient, dark, loop, looping, environment, room tone, drone, steady, fantasy, flowing, background",Game,Warfare,Battle Royale Game,01:32.000,Epic Stock Media,16,44100,2,Epic Stock Media,Battle Game Ambience Loop Sewer Dark Hybrid Cinematic Ambient Background Atmosphere Steady Water Drip 1,https://epicstockmedia.com,Epic Stock Media,All files are Copyright Epic Stock Media - All Rights Reserved © 2020 Epic Stock Media
